cond,em,ec,ki,seed,j0,j1,j2,j3,j4,j5,j6,j7,all
base,0.0,0.0,0.0,1,0.0005,0.0007,0.0009,0.0226,0.0003,0.0004,0.0003,0.0005,0.008
base_ki,0.0,0.0,6.0,1,0.0005,0.0007,0.0009,0.0226,0.0003,0.0004,0.0002,0.0005,0.008
U0.7,0.0,0.0,0.0,1,0.0005,0.0106,0.0022,0.0236,0.0003,0.0008,0.0003,0.0005,0.0092
U0.8,0.0,0.0,0.0,1,0.0005,0.0072,0.0016,0.023,0.0003,0.0006,0.0003,0.0005,0.0086
U1.2,0.0,0.0,0.0,1,0.0005,0.0068,0.0016,0.0231,0.0003,0.0006,0.0003,0.0005,0.0085
U1.3,0.0,0.0,0.0,1,0.0005,0.0103,0.0022,0.0236,0.0004,0.0008,0.0003,0.0005,0.0092
M10,0.1,0.0,0.0,1,0.0005,0.0008,0.0009,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M20,0.2,0.0,0.0,1,0.0005,0.0008,0.0009,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M30,0.3,0.0,0.0,1,0.0005,0.0009,0.001,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
C05,0.0,0.005,0.0,1,0.0005,0.0014,0.0009,0.0226,0.0003,0.0006,0.0003,0.0005,0.008
C10,0.0,0.01,0.0,1,0.0005,0.0023,0.0009,0.0227,0.0004,0.0009,0.0003,0.0005,0.0081
C20,0.0,0.02,0.0,1,0.0005,0.0044,0.001,0.0229,0.0004,0.0016,0.0004,0.0005,0.0083
M20C10,0.2,0.01,0.0,1,0.0005,0.0025,0.0009,0.0227,0.0003,0.0007,0.0003,0.0005,0.0081
M20C10k,0.2,0.01,6.0,1,0.0005,0.0017,0.0009,0.0225,0.0003,0.0005,0.0003,0.0005,0.008
M10,0.1,0.0,0.0,2,0.0005,0.0016,0.0009,0.0226,0.0003,0.0004,0.0003,0.0005,0.008
M20,0.2,0.0,0.0,2,0.0005,0.0031,0.0009,0.0226,0.0003,0.0004,0.0003,0.0005,0.0081
M30,0.3,0.0,0.0,2,0.0005,0.0046,0.0009,0.0226,0.0003,0.0004,0.0003,0.0005,0.0082
C05,0.0,0.005,0.0,2,0.0005,0.0014,0.0009,0.0226,0.0003,0.0006,0.0003,0.0005,0.008
C10,0.0,0.01,0.0,2,0.0005,0.0025,0.001,0.0227,0.0004,0.0009,0.0003,0.0005,0.0081
C20,0.0,0.02,0.0,2,0.0005,0.0047,0.0011,0.0229,0.0004,0.0015,0.0003,0.0005,0.0083
M20C10,0.2,0.01,0.0,2,0.0005,0.0056,0.001,0.0227,0.0003,0.0009,0.0003,0.0005,0.0083
M20C10k,0.2,0.01,6.0,2,0.0005,0.0035,0.0009,0.0224,0.0003,0.0006,0.0003,0.0005,0.008
M10,0.1,0.0,0.0,3,0.0005,0.0008,0.0009,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M20,0.2,0.0,0.0,3,0.0005,0.001,0.0009,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M30,0.3,0.0,0.0,3,0.0005,0.0012,0.0009,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
C05,0.0,0.005,0.0,3,0.0005,0.0016,0.0011,0.0226,0.0004,0.0004,0.0003,0.0005,0.008
C10,0.0,0.01,0.0,3,0.0005,0.003,0.0014,0.0226,0.0006,0.0004,0.0004,0.0005,0.0081
C20,0.0,0.02,0.0,3,0.0005,0.0058,0.0022,0.0227,0.001,0.0005,0.0006,0.0005,0.0083
M20C10,0.2,0.01,0.0,3,0.0005,0.0025,0.0014,0.0226,0.0005,0.0005,0.0004,0.0005,0.0081
M20C10k,0.2,0.01,6.0,3,0.0005,0.0017,0.0012,0.0226,0.0004,0.0004,0.0003,0.0005,0.008
M10,0.1,0.0,0.0,4,0.0005,0.0008,0.0009,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M20,0.2,0.0,0.0,4,0.0005,0.0008,0.001,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M30,0.3,0.0,0.0,4,0.0005,0.0008,0.001,0.0227,0.0003,0.0006,0.0003,0.0005,0.008
C05,0.0,0.005,0.0,4,0.0005,0.0013,0.0011,0.0226,0.0004,0.0005,0.0003,0.0005,0.008
C10,0.0,0.01,0.0,4,0.0005,0.0022,0.0014,0.0226,0.0004,0.0006,0.0004,0.0005,0.0081
C20,0.0,0.02,0.0,4,0.0005,0.0041,0.0023,0.0227,0.0007,0.0008,0.0007,0.0005,0.0082
M20C10,0.2,0.01,0.0,4,0.0005,0.0021,0.0016,0.0226,0.0004,0.0005,0.0004,0.0005,0.0081
M20C10k,0.2,0.01,6.0,4,0.0005,0.0011,0.0012,0.0226,0.0004,0.0004,0.0003,0.0005,0.008
M10,0.1,0.0,0.0,5,0.0005,0.0019,0.001,0.0226,0.0003,0.0005,0.0003,0.0005,0.008
M20,0.2,0.0,0.0,5,0.0005,0.0034,0.0011,0.0227,0.0003,0.0005,0.0003,0.0005,0.0081
M30,0.3,0.0,0.0,5,0.0005,0.005,0.0014,0.0229,0.0003,0.0006,0.0003,0.0005,0.0083
C05,0.0,0.005,0.0,5,0.0005,0.0008,0.001,0.0226,0.0004,0.0005,0.0003,0.0005,0.008
